item_id,item_name,category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,daily_sales,elasticity,restock_frequency_days,last_restock_date,next_restock_date,carbon_score,predicted_monthly_sales,predicted_daily_sales,days_until_restock,days_stock_lasts
WME521CE,Great Value Croissants,Perishable,Bakery,51,16,149,64,8.19,8.19,50,1.0,2,2025-06-21,2025-06-23,0.06,1520.65,50.69,0,1.2625764792638574
WMBE8D91,Tyson Rolls Organic,Perishable,Bakery,17,11,417,231,5.53,5.53,38,0.94,1,2025-06-29,2025-06-30,6.56,1200.07,40.0,0,5.775
WM33D398,Fresh Lettuce 16oz,Perishable,Produce,10,0,122,34,6.26,5.27,74,0.99,2,2025-06-19,2025-06-21,2.57,2243.43,74.78,0,0.45466703069020414
WMD08895,Great Value Sauce,Non-Perishable,Grocery,453,337,374,281,5.65,5.65,69,1.13,11,2025-06-26,2025-07-07,6.44,2097.71,69.92,6,4.018878823781277
WM17F0FC,Uncle Ben's Croissants,Perishable,Bakery,31,18,271,228,7.36,7.36,12,0.92,1,2025-06-20,2025-06-21,4.73,370.5,12.35,0,18.461537891294103
WM46B7BD,Barilla Croissants 16oz,Perishable,Bakery,55,23,484,110,8.6,8.6,42,1.31,1,2025-06-30,2025-07-01,4.32,1274.17,42.47,0,2.5900634998422745
WM95FA67,Uncle Ben's Yogurt Organic,Perishable,Dairy,38,38,113,66,8.84,8.84,64,0.75,1,2025-06-19,2025-06-20,7.11,1990.56,66.35,0,0.9947249663576465
WM413B05,Organic Croissants,Perishable,Bakery,7,0,332,280,1.17,1.05,17,0.12,1,2025-06-17,2025-06-18,4.18,524.33,17.48,0,16.01830705564068
WM30CBCD,Canned Flakes 16oz,Perishable,Grocery,315,259,212,190,5.46,5.46,55,0.63,7,2025-06-19,2025-06-26,2.46,1680.15,56.0,0,3.392857142857143
WM66AE51,Heinz Rice,Perishable,Grocery,707,505,68,46,4.62,4.62,65,0.0,7,2025-06-17,2025-06-24,3.84,2024.68,67.49,0,0.6815824782340681
WMB9543C,Fresh Bananas,Perishable,Produce,8,2,92,78,9.38,9.38,54,1.37,1,2025-06-19,2025-06-20,5.45,1600.98,53.37,0,1.4614952512843422
WM49124C,Organic Bread 16oz,Perishable,Bakery,22,2,92,69,9.81,9.81,2,0.0,1,2025-06-18,2025-06-19,6.2,192.83,6.43,0,10.730948964555129
WM2A000F,Del Monte Croissants 12oz,Perishable,Bakery,53,14,56,14,5.26,5.26,57,0.94,2,2025-06-30,2025-07-02,8.09,1740.65,58.02,1,0.24129610288768372
WM3061B3,Campbell's Pasta 12oz,Perishable,Grocery,570,261,295,72,4.17,4.17,16,0.47,9,2025-06-22,2025-07-01,5.42,476.93,15.9,0,4.528301995434599
WMA1E822,Organic Carrots,Perishable,Produce,11,7,444,182,8.13,8.13,19,1.46,2,2025-07-01,2025-07-03,3.58,591.23,19.71,2,9.233891854585513
WMFE9B2C,Apples,Perishable,Produce,14,12,243,97,7.67,7.67,74,1.61,1,2025-06-21,2025-06-22,5.04,2307.81,76.93,0,1.2608865152113347
WMA6C3D8,Tyson Sauce,Perishable,Grocery,699,665,308,152,4.76,4.76,2,0.49,12,2025-06-25,2025-07-07,2.61,83.52,2.78,6,54.67625955550372
WMA19798,Del Monte Beef,Perishable,Meat,8,7,207,187,1.86,1.86,47,0.11,1,2025-06-19,2025-06-20,5.49,1468.92,48.96,0,3.819444515866133
WME7F6CA,Organic Rice,Perishable,Grocery,397,231,438,129,2.75,2.75,68,0.0,11,2025-06-29,2025-07-10,7.14,2135.59,71.19,9,1.8120521923871955
WM137B1C,Uncle Ben's Beef,Perishable,Meat,6,3,164,110,5.93,5.93,57,0.68,2,2025-06-29,2025-07-01,6.07,1688.74,56.29,0,1.9541658946688167
WM6EBC4C,Tyson Milk,Perishable,Dairy,15,15,55,12,0.91,0.91,19,0.0,1,2025-06-29,2025-06-30,5.03,621.4,20.71,0,0.5794302525583892
WM8CD71D,Fresh Apples,Perishable,Produce,11,5,332,176,9.06,9.06,66,1.6,1,2025-06-20,2025-06-21,3.38,2178.5,72.62,0,2.4235746811271457
WM1E7581,Fresh Apples,Perishable,Produce,14,14,364,207,3.44,3.44,16,0.7,2,2025-06-19,2025-06-21,5.98,510.98,17.03,0,12.155020061879629
WMAEEBB6,Barilla Cleaner,Perishable,Household,668,369,124,83,16.0,16.0,22,2.91,12,2025-07-01,2025-07-13,7.87,667.94,22.26,12,3.728661237492236
WM868ACE,Kellogg's Chicken,Perishable,Meat,3,0,361,206,7.62,6.85,60,0.77,2,2025-06-29,2025-07-01,6.2,1864.89,62.16,0,3.3140283221634586
WM447B25,Great Value Sauce,Perishable,Grocery,396,266,328,234,1.58,1.58,59,0.2,10,2025-06-20,2025-06-30,5.23,1702.31,56.74,0,4.124074604826889
WM9F7A68,Barilla Bacon 12oz,Perishable,Meat,10,7,145,129,0.64,0.64,58,0.05,1,2025-06-17,2025-06-18,7.89,1677.77,55.93,0,2.3064544841073835
WM41B4B2,Potatoes,Perishable,Produce,7,4,438,105,1.9,1.9,31,0.46,1,2025-06-30,2025-07-01,4.89,930.21,31.01,0,3.3860044896809116
WMA02A5B,Carrots 12oz,Perishable,Produce,4,0,112,54,2.23,1.96,23,0.27,2,2025-06-30,2025-07-02,6.91,683.97,22.8,1,2.3684211318842947
WMF6189D,Heinz Yogurt 16oz,Perishable,Dairy,18,3,89,80,4.88,4.88,66,0.34,2,2025-06-23,2025-06-25,0.43,2014.51,67.15,0,1.1913625939259114
WM83953C,Uncle Ben's Pasta 12oz,Perishable,Grocery,686,41,174,61,7.61,7.61,28,1.09,11,2025-06-25,2025-07-06,0.4,835.5,27.85,5,2.190305176461935
WMC2EC38,Kellogg's Cheese,Perishable,Dairy,17,12,452,266,5.56,5.56,8,0.46,1,2025-06-27,2025-06-28,5.41,229.25,7.64,0,34.81675453514899
WMDF5A25,Great Value Beans,Perishable,Grocery,350,312,317,144,8.0,8.0,4,1.02,11,2025-06-24,2025-07-05,3.28,145.44,4.85,4,29.690722233304726
WM4289AC,Heinz Butter,Perishable,Dairy,39,22,210,44,6.25,6.25,48,0.61,1,2025-06-18,2025-06-19,4.03,1444.74,48.16,0,0.9136212653531466
WM86733B,Sara Lee Pork 16oz,Perishable,Meat,9,4,492,447,4.28,4.28,20,0.4,1,2025-06-24,2025-06-25,5.55,1691.5,56.38,0,7.928343233976868
WMF50620,Organic Apples 12oz,Perishable,Produce,6,5,134,99,4.54,4.54,22,1.07,2,2025-06-26,2025-06-28,4.39,661.78,22.06,0,4.487760761410826
WM5CE2E8,Campbell's Milk 12oz,Perishable,Dairy,24,11,296,166,2.42,2.42,3,0.0,2,2025-06-17,2025-06-19,3.79,119.27,3.98,0,41.7085425136866
WMDC3457,Kellogg's Paper Towels 16oz,Non-Perishable,Household,386,146,466,196,2.87,2.87,50,0.48,12,2025-06-29,2025-07-11,6.39,1524.84,50.83,10,3.855990417853053
WM52A180,Organic Rice,Non-Perishable,Grocery,547,374,253,108,9.05,9.05,75,0.0,11,2025-07-01,2025-07-12,8.02,2298.83,76.63,11,1.4093697490662878
WME3CDD1,Barilla Batteries,Perishable,Electronics,481,160,378,168,25.01,25.01,8,9.12,11,2025-06-19,2025-06-30,4.94,238.61,7.95,0,21.132075978694797
WM3437F2,Barilla Beans 16oz,Perishable,Grocery,385,275,272,107,1.48,1.48,30,0.2,11,2025-06-17,2025-06-28,0.61,922.99,30.77,0,3.477413012940093
WMEC2881,Barilla Beef 16oz,Perishable,Meat,3,2,304,129,6.19,6.19,60,0.72,1,2025-06-25,2025-06-26,5.65,1834.24,61.14,0,2.1099116991787357
WM05453C,Organic Rolls,Perishable,Bakery,37,0,442,112,5.87,5.19,67,0.68,1,2025-06-20,2025-06-21,5.88,2012.66,67.09,0,1.6693994054780625
WM9CA006,Tyson Bread 16oz,Perishable,Bakery,55,25,100,21,8.47,8.47,13,0.0,2,2025-06-27,2025-06-29,7.19,401.57,13.39,0,1.5683345378308489
WMD3BC11,Barilla Bread,Perishable,Bakery,3,1,229,130,9.24,9.24,20,0.0,1,2025-06-21,2025-06-22,3.36,616.74,20.56,0,6.32295736268597
WM3D1BD6,Uncle Ben's Sauce 12oz,Non-Perishable,Grocery,475,435,213,114,6.51,6.51,30,1.3,7,2025-06-19,2025-06-26,2.79,901.91,30.06,0,3.7924152370381985
WMBD7173,Del Monte Pasta,Perishable,Grocery,446,209,331,230,8.45,8.45,15,1.02,10,2025-06-26,2025-07-06,3.0,443.43,14.78,5,15.561569969917963
WM3541F4,Kellogg's Bread,Perishable,Bakery,22,1,388,303,9.03,9.03,34,0.0,1,2025-06-25,2025-06-26,0.65,1036.91,34.56,0,8.767360762727495
WMA92C60,Fresh Potatoes,Perishable,Produce,5,3,157,144,2.81,2.81,40,0.54,1,2025-06-27,2025-06-28,5.51,1188.02,39.6,0,3.6363637764810806
WM5B4E84,Del Monte Cereal,Perishable,Grocery,335,69,61,52,6.04,6.04,4,1.2,9,2025-06-25,2025-07-04,3.37,134.02,4.47,3,11.633110165709988
WMD2B157,Canned Pasta 16oz,Non-Perishable,Grocery,483,142,476,185,1.83,1.83,7,0.26,12,2025-07-01,2025-07-13,4.94,229.08,7.64,12,24.214660109032188
WM0245B5,Great Value Cream 12oz,Perishable,Dairy,25,5,340,225,1.76,1.76,76,0.14,2,2025-06-27,2025-06-29,7.3,1338.56,44.62,0,5.042581922592079
WM935D45,Tyson Bacon,Perishable,Meat,10,9,142,140,1.8,1.8,27,0.24,2,2025-06-23,2025-06-25,6.97,820.55,27.35,0,5.118829910322535
WMFDCA8E,Organic Cream 16oz,Perishable,Dairy,24,12,71,61,7.51,7.51,6,0.66,1,2025-06-28,2025-06-29,2.19,195.18,6.51,0,9.370199363338182
WM42E739,Organic Avocados 12oz,Perishable,Produce,7,7,110,67,3.06,3.06,83,0.57,2,2025-06-21,2025-06-23,4.44,2529.57,84.32,0,0.7945920332363644
WMCA836A,Kellogg's Cream 16oz,Perishable,Dairy,22,8,235,102,6.18,6.18,34,0.5,2,2025-07-01,2025-07-03,3.81,1035.85,34.53,2,2.9539531887025743
WM8CF8F5,Sara Lee Paper Towels 16oz,Perishable,Household,618,448,336,72,18.26,18.26,3,4.49,11,2025-06-22,2025-07-03,5.24,100.56,3.35,2,21.492537925280043
WM9AD2C4,Great Value Yogurt 12oz,Perishable,Dairy,20,2,378,319,1.6,1.53,17,0.14,1,2025-06-29,2025-06-30,6.58,530.59,17.69,0,18.032786340839632
WM7C3664,Organic Muffins 12oz,Perishable,Bakery,34,16,448,257,4.69,4.69,120,0.93,2,2025-06-26,2025-06-28,5.64,2443.77,81.46,0,3.1549226968870365
WM39B669,Kellogg's Rolls 16oz,Perishable,Bakery,52,22,257,53,0.5,0.5,48,0.08,1,2025-06-23,2025-06-24,3.7,1394.79,46.49,0,1.1400300728435657
WM120487,Tyson Chicken 12oz,Perishable,Meat,5,0,209,160,3.31,2.94,33,0.37,1,2025-06-24,2025-06-25,5.47,1035.74,34.52,0,4.634994144793397
WMFEFB9E,Barilla Sauce,Non-Perishable,Grocery,475,418,475,297,6.33,6.33,8,0.71,10,2025-06-22,2025-07-02,8.24,235.45,7.85,1,37.83439536409798
WMEFEB3E,Tyson Beans Organic,Perishable,Grocery,636,401,147,86,6.17,6.17,19,1.08,10,2025-07-01,2025-07-11,1.58,586.21,19.54,10,4.401228043528935
WMD9F76F,Canned Soup,Non-Perishable,Grocery,549,319,91,27,3.02,3.02,15,0.38,10,2025-06-21,2025-07-01,7.17,461.55,15.38,0,1.755526644934715
WM59118A,Uncle Ben's Cereal 12oz,Perishable,Grocery,523,504,99,28,9.92,9.92,3,1.19,10,2025-06-24,2025-07-04,5.07,102.06,3.4,3,8.235293886653286
WMD81008,Fresh Potatoes 12oz,Perishable,Produce,4,0,200,161,9.34,7.54,40,1.8,2,2025-06-23,2025-06-25,4.68,1228.98,40.97,0,3.9297045448620302
WMEED870,Organic Beans,Non-Perishable,Grocery,681,0,300,118,2.96,2.96,30,0.4,7,2025-06-30,2025-07-07,1.21,2122.25,70.74,6,1.6680803444077474
WM593D59,Carrots,Perishable,Produce,12,7,483,350,6.51,6.51,74,1.35,1,2025-07-01,2025-07-02,5.39,2274.04,75.8,1,4.617414062120984
WM9B2B8F,Great Value Beef,Perishable,Meat,3,3,495,227,4.74,4.74,72,0.45,1,2025-07-01,2025-07-02,7.77,2073.26,69.11,1,3.2846186947652707
WMCBD2E0,Heinz Rolls 12oz,Perishable,Bakery,12,6,474,435,8.61,8.61,9,0.98,2,2025-06-17,2025-06-19,6.75,282.95,9.43,0,46.12937284437249
WMCF7800,Fresh Carrots Organic,Perishable,Produce,14,6,337,229,3.11,3.11,81,0.49,1,2025-06-19,2025-06-20,4.59,2445.27,81.51,0,2.8094711568926773
WM40ABE2,Sara Lee Sauce 12oz,Non-Perishable,Grocery,498,483,133,40,7.88,7.88,32,1.07,11,2025-06-20,2025-07-01,6.22,1044.41,34.81,0,1.1490950422854955
WM33A765,Canned Ketchup 16oz,Non-Perishable,Grocery,300,180,323,259,5.8,5.8,44,1.1,9,2025-06-30,2025-07-09,3.01,1288.57,42.95,8,6.030267646083141
WM56D8E5,Great Value Beef,Perishable,Meat,8,5,181,80,8.67,8.67,38,0.67,1,2025-07-01,2025-07-02,3.86,1148.94,38.3,1,2.088772887561547
WM77D4DB,Canned Pasta,Perishable,Grocery,535,5,196,114,1.33,1.33,63,0.21,10,2025-06-18,2025-06-28,4.44,1845.95,61.53,0,1.8527547905357316
WM28937B,Onions 12oz,Perishable,Produce,4,4,317,160,6.32,6.32,19,1.4,2,2025-06-17,2025-06-19,6.12,1383.89,46.13,0,3.4684586233532735
WM2DA54C,Campbell's Cereal 16oz,Non-Perishable,Grocery,501,20,123,79,7.39,7.39,19,0.78,11,2025-06-29,2025-07-10,9.33,571.43,19.05,9,4.146981793380369
WM819467,Sara Lee Lotion,Perishable,Personal Care,509,283,373,304,19.93,19.93,49,3.31,11,2025-06-19,2025-06-30,6.13,1546.06,51.54,0,5.89833128831813
WM9BFB0F,Great Value Croissants,Perishable,Bakery,44,33,241,174,4.02,4.02,68,0.59,2,2025-06-28,2025-06-30,9.0,2136.83,71.23,0,2.4427908437415886
WM25D9BF,Uncle Ben's Batteries,Non-Perishable,Electronics,419,150,222,139,85.24,85.24,5,22.17,11,2025-06-22,2025-07-03,7.78,155.29,5.18,2,26.83397772323505
WMAA9CAD,Del Monte Rice 16oz,Non-Perishable,Grocery,483,47,232,121,6.0,6.0,3,0.0,9,2025-06-20,2025-06-29,3.57,100.29,3.34,0,36.22754584114826
WMA750A6,Great Value Sauce 12oz,Non-Perishable,Grocery,707,321,156,146,2.11,2.11,28,0.36,10,2025-06-28,2025-07-08,4.01,842.5,28.08,7,5.19943021355716
WMF115BC,Great Value Butter,Perishable,Dairy,24,15,210,120,7.93,7.93,45,0.48,2,2025-06-21,2025-06-23,4.68,1351.71,45.06,0,2.6631157643756556
WM05BDE3,Kellogg's Sauce 12oz,Perishable,Grocery,321,206,151,129,1.34,1.34,25,0.15,10,2025-06-21,2025-07-01,8.23,1842.42,61.41,0,2.100635080940099
WM1A7DE4,Kellogg's Pasta 16oz,Non-Perishable,Grocery,505,337,112,109,3.43,3.43,23,0.4,13,2025-07-01,2025-07-14,2.89,705.58,23.52,13,4.6343536512993735
WM16ED89,Grapes Organic,Perishable,Produce,11,10,475,215,5.22,5.22,36,1.02,1,2025-06-24,2025-06-25,7.1,1098.68,36.62,0,5.871108855025145
WMC1BD4F,Campbell's Bacon 12oz,Perishable,Meat,11,6,206,179,6.25,6.25,11,0.59,1,2025-06-21,2025-06-22,5.41,364.63,12.15,0,14.732510750617848
WM5F3551,Campbell's Speaker,Perishable,Electronics,620,495,246,85,20.82,20.82,74,6.46,11,2025-06-20,2025-07-01,1.71,2237.03,74.57,0,1.139868584522734
WMAF95B3,Great Value Cheese 12oz,Perishable,Dairy,15,1,321,149,6.39,6.12,13,0.4,2,2025-06-26,2025-06-28,4.35,395.61,13.19,0,11.296437053841823
WM5AA614,Tyson Paper Towels,Non-Perishable,Household,403,192,227,127,15.44,15.44,51,3.68,10,2025-06-17,2025-06-27,5.17,1509.71,50.32,0,2.5238473920949342
WMD5DAA7,Campbell's Sauce,Non-Perishable,Grocery,692,243,95,58,2.94,2.94,55,0.38,10,2025-06-22,2025-07-02,3.77,1602.53,53.42,1,1.0857357167360815
WMA31547,Kellogg's Butter,Perishable,Dairy,49,26,105,32,8.1,8.1,31,0.65,2,2025-06-28,2025-06-30,6.06,974.3,32.48,0,0.9852216887622752
WM24081A,Del Monte Cream,Perishable,Dairy,39,38,320,110,8.9,8.9,31,0.8,1,2025-06-19,2025-06-20,2.41,961.3,32.04,0,3.4332083912860125
WM275BB7,Great Value Cleaner,Non-Perishable,Household,645,273,350,323,13.23,13.23,69,2.0,12,2025-06-30,2025-07-12,5.62,2153.99,71.8,11,4.49860705113288
WMF2F272,Barilla Croissants,Perishable,Bakery,39,24,296,241,4.21,4.21,33,0.46,1,2025-06-27,2025-06-28,5.0,1032.75,34.42,0,7.001743545048673
WMB89D4F,Fresh Potatoes,Perishable,Produce,11,11,107,98,7.38,7.38,4,1.06,1,2025-07-01,2025-07-02,4.59,140.17,4.67,1,20.985010363805305
WMBAC57D,Tyson Milk,Perishable,Dairy,38,17,424,196,1.16,1.16,45,0.0,2,2025-06-20,2025-06-22,1.89,1367.28,45.58,0,4.3001314639364665
WM0770DC,Heinz Rolls Organic,Perishable,Bakery,23,23,250,183,6.01,6.01,9,0.91,1,2025-06-22,2025-06-23,6.39,279.54,9.32,0,19.63519377598558
WM99BDE2,Great Value Sauce 12oz,Perishable,Grocery,499,191,103,22,0.69,0.69,7,0.13,11,2025-06-28,2025-07-09,6.58,227.58,7.59,8,2.8985506663657796
WMD40A8F,Fresh Avocados 16oz,Perishable,Produce,10,5,121,114,1.62,1.62,59,0.23,1,2025-06-23,2025-06-24,1.92,1744.38,58.15,0,1.9604470680755834
WM27D2B2,Heinz Yogurt,Perishable,Dairy,37,19,463,278,9.93,9.93,18,0.85,1,2025-06-24,2025-06-25,4.8,558.85,18.63,0,14.922169217562146
WM868C48,Uncle Ben's Butter 16oz,Perishable,Dairy,49,16,60,52,2.62,2.62,37,0.19,2,2025-06-19,2025-06-21,5.24,1118.28,37.28,0,1.3948498310809427
WM4E0373,Great Value Earbuds 16oz,Non-Perishable,Electronics,433,413,421,196,20.96,20.96,42,8.12,7,2025-06-20,2025-06-27,5.07,1281.7,42.72,0,4.588014850173126
WM050B06,Campbell's Razor Blades,Perishable,Personal Care,569,123,328,157,4.74,4.74,41,1.15,13,2025-06-19,2025-07-02,4.87,1209.55,40.32,1,3.893849235821143
WM3998A1,Onions,Perishable,Produce,3,3,169,144,7.07,7.07,13,1.73,1,2025-06-20,2025-06-21,6.25,422.9,14.1,0,10.212765681144615
WM83580E,Campbell's Rolls 12oz,Perishable,Bakery,10,9,252,212,3.99,3.99,15,0.66,2,2025-06-18,2025-06-20,6.52,490.43,16.35,0,12.966360553744709
WMFACD9C,Barilla Rice 16oz,Perishable,Grocery,619,85,290,240,0.62,0.62,39,0.0,7,2025-06-20,2025-06-27,6.16,1179.88,39.33,0,6.102211767773113
WM225BDE,Fresh Lettuce,Perishable,Produce,8,1,196,80,5.02,4.81,29,0.56,2,2025-06-19,2025-06-21,0.45,859.73,28.66,0,2.791346839704317
WM0E9043,Sara Lee Cereal Organic,Perishable,Grocery,483,123,428,414,9.07,9.07,80,1.27,13,2025-06-24,2025-07-07,7.43,2351.33,78.38,6,5.281959868682522
WM07D448,Del Monte Rice 16oz,Non-Perishable,Grocery,609,312,356,344,1.31,1.31,45,0.0,9,2025-06-21,2025-06-30,7.6,1324.75,44.16,0,7.78985509938038
WME92805,Heinz Shampoo,Non-Perishable,Personal Care,530,441,80,52,3.49,3.49,69,0.58,8,2025-06-23,2025-07-01,5.49,2072.29,69.08,0,0.752750414326474
WMC91771,Kellogg's Bagels,Perishable,Bakery,47,30,288,278,9.7,9.7,52,1.36,2,2025-06-20,2025-06-22,8.6,1678.72,55.96,0,4.967834248538029
WMDA10A3,Canned Beans 12oz,Perishable,Grocery,456,197,247,125,9.46,9.46,30,1.01,13,2025-06-24,2025-07-07,4.45,909.4,30.31,6,4.124051540827487
WM5BD0FF,Del Monte Shampoo 16oz,Non-Perishable,Personal Care,528,336,149,32,15.47,15.47,29,2.95,8,2025-06-20,2025-06-28,3.4,878.32,29.28,0,1.0928961492338718
WM267FB6,Barilla Cereal,Perishable,Grocery,389,197,428,177,5.65,5.65,66,1.02,10,2025-06-19,2025-06-29,5.16,1916.67,63.89,0,2.770386628438094
WM0469A9,Tyson Cereal,Perishable,Grocery,534,434,383,112,3.14,3.14,65,0.58,12,2025-06-18,2025-06-30,7.16,2025.27,67.51,0,1.6590134269880754
WMEDBD51,Kellogg's Milk,Perishable,Dairy,34,0,392,380,7.58,7.58,33,0.0,1,2025-06-29,2025-06-30,5.84,1020.02,34.0,0,11.176470588235293
WM39C73C,Uncle Ben's Beef 12oz,Perishable,Meat,7,3,374,108,6.13,6.13,67,0.87,1,2025-06-26,2025-06-27,3.5,2036.18,67.87,0,1.5912773777725968
WM7668C5,Campbell's Sauce 12oz,Perishable,Grocery,514,372,96,78,7.18,7.18,64,1.07,7,2025-06-29,2025-07-06,8.12,1934.99,64.5,5,1.2093023255813953
WM41DD6B,Heinz Yogurt 16oz,Perishable,Dairy,43,34,282,182,1.9,1.9,14,0.12,1,2025-06-21,2025-06-22,4.73,411.0,13.7,0,13.284671717799274
WM2388EC,Tyson Chicken 12oz,Perishable,Meat,10,5,130,58,9.92,9.92,36,0.66,2,2025-06-29,2025-07-01,2.25,1095.55,36.52,0,1.5881708453722092
WMFCA2E7,Uncle Ben's Pasta 12oz,Perishable,Grocery,425,400,166,108,8.79,8.79,51,1.73,10,2025-06-27,2025-07-07,3.93,1561.6,52.05,6,2.0749279843044075
WM7FA0A8,Lettuce,Perishable,Produce,8,3,378,146,2.01,2.01,76,0.46,2,2025-06-28,2025-06-30,3.85,2325.05,77.5,0,1.8838709677419354
WMAD726B,Organic Pasta,Perishable,Grocery,415,327,488,343,4.57,4.57,21,0.54,12,2025-06-21,2025-07-03,4.03,644.6,21.49,2,15.960912222110883
WM4D6C80,Canned Soup 12oz,Non-Perishable,Grocery,624,54,156,64,5.71,5.71,26,0.61,12,2025-06-18,2025-06-30,4.25,2110.22,70.34,0,0.9098664107482274
WM106A65,Grapes,Perishable,Produce,11,2,202,152,9.5,9.5,76,1.51,1,2025-06-26,2025-06-27,8.26,2296.51,76.55,0,1.9856302278293592
WMB5F3FD,Great Value Butter,Perishable,Dairy,44,3,368,207,1.28,1.21,23,0.1,2,2025-06-23,2025-06-25,4.88,691.86,23.06,0,8.976583035299763
WM34EB6A,Organic Carrots 12oz,Perishable,Produce,6,5,100,71,9.79,9.79,40,1.4,2,2025-06-22,2025-06-24,4.93,1133.8,37.79,0,1.8788038708627595
WM923BE0,Campbell's Bagels 12oz,Perishable,Bakery,52,12,253,53,7.83,7.83,56,0.99,2,2025-06-28,2025-06-30,4.84,1703.94,56.8,0,0.9330986040827066
WM7C353F,Del Monte Pork,Perishable,Meat,7,6,484,405,5.47,5.47,9,0.36,2,2025-06-25,2025-06-27,7.74,285.99,9.53,0,42.4973778959102
WMB0892F,Organic Apples,Perishable,Produce,12,4,435,119,3.13,3.13,12,0.41,1,2025-06-27,2025-06-28,4.19,361.12,12.04,0,9.883720961547677
WME93A39,Organic Lettuce 16oz,Perishable,Produce,4,4,411,244,9.69,9.69,16,1.09,2,2025-06-17,2025-06-19,5.86,499.08,16.64,0,14.663462076314122
WMFFAA80,Fresh Peppers,Perishable,Produce,12,2,220,48,3.7,3.7,76,0.5,1,2025-06-24,2025-06-25,6.46,2307.64,76.92,0,0.6240249758531443
WM7DE1E8,Heinz Yogurt,Perishable,Dairy,16,1,89,37,4.49,4.49,46,0.4,2,2025-06-25,2025-06-27,6.22,1395.4,46.51,0,0.7955278721837695
WM559344,Bananas 16oz,Perishable,Produce,13,3,64,26,1.51,1.51,20,0.32,2,2025-06-25,2025-06-27,2.99,535.15,17.84,0,1.4573990906736853
WM0D73F3,Campbell's Beans 12oz,Non-Perishable,Grocery,451,30,393,264,7.71,7.1,7,0.91,7,2025-06-17,2025-06-24,3.81,235.62,7.85,0,33.630573656975976
WMF115A7,Del Monte Beans,Non-Perishable,Grocery,493,427,295,205,9.78,9.78,19,1.55,13,2025-06-29,2025-07-12,5.84,579.39,19.31,11,10.616261298275257
WMD41C3A,Heinz Shampoo 16oz,Non-Perishable,Personal Care,704,512,187,62,7.07,7.07,9,1.63,10,2025-06-24,2025-07-04,3.71,287.45,9.58,3,6.471816335465595
WM898397,Great Value Beans,Perishable,Grocery,551,164,184,74,0.96,0.96,22,0.1,11,2025-06-23,2025-07-04,6.8,674.67,22.49,3,3.290351300715947
WMCD9B1C,Great Value Toothpaste,Non-Perishable,Personal Care,659,344,78,26,12.78,12.78,31,3.54,12,2025-06-24,2025-07-06,6.28,923.35,30.78,5,0.8447043346324744
WMF47019,Del Monte Lotion,Perishable,Personal Care,495,68,203,176,5.07,5.07,67,0.86,11,2025-06-25,2025-07-06,4.46,2049.41,68.31,5,2.57648962509527
WM79E389,Campbell's Butter,Perishable,Dairy,57,34,384,228,6.52,6.52,29,0.64,1,2025-06-24,2025-06-25,0.58,872.06,29.07,0,7.843137337238925
